"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
3,"France",2,"Patrick","Vieira","Portugal",1,"Sergio","Conceicao","2000-06-28","King Baudouin Stadium","Jose","Luis Vidigal","Paulo","Bento"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Javi","Moreno","Juan","Pablo"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
10,"Italy",4,"Pierluigi","Cera","West Germany",3,"Berti","Vegts","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
3,"France",2,"Marcel","Desailly","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","Nicolas","Anelka","Sylvain","Wiltord"
10,"Italy",4,"Angelo","Domenghini","West Germany",3,"Hannes","Lohr","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
3,"France",2,"Nicolas","Anelka","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
1,"Chelsea",4,"Florent","Malouda","Liverpool",4,"Alvaro","Arbeola","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"","Dunga","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
8,"Manchester United",2,"Jaap","Stam","Bayern",1,"Thomas","Linke","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
4,"Brazil",1,"","Felix","England",0,"Martin","Stanford Peters","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
8,"Manchester United",2,"Denis","Irwin","Bayern",1,"Lothar","Matthaus","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Dan","Eggen","Ivan","Alonso"
9,"Italy",3,"Gianluca","Pagliuca","Brazil",3,"","Aldair","1997-06-08","Stade de Gerland","Dino","Baggio","Diego","Fuser"
4,"Brazil",1,"","Rivellino","England",0,"Francis","Henry Lee","1970-06-07","Jalisco Stadium","Francis","Henry Lee","Colin","Bell"
3,"France",2,"Thierry","Henry","Portugal",1,"Rui","Costa","2000-06-28","King Baudouin Stadium","Rui","Costa","Joao","Pinto"
7,"Argentina",2,"Jorge","Valdano","England",1,"Trevor","Steven","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
10,"Italy",4,"Giacinto","Facchetti","West Germany",3,"Gerd","Muller","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
6,"Milan",3,"Paolo","Maldini","Liverpool",3,"Jerzy","Dudek","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
8,"Manchester United",2,"Denis","Irwin","Bayern",1,"Markus","Babbel","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
10,"Italy",4,"Enrico","Albertosi","West Germany",3,"Karl-Heinz","Schnellinger","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
2,"Liverpool",5,"Jamie","Carragher","Alaves",4,"Hermes","Desio","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
7,"Argentina",2,"Oscar","Ruggeri","England",1,"Terry","Butcher","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
6,"Milan",3,"Andriy","Shevchenko","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
1,"Chelsea",4,"Ricardo","Carvalho","Liverpool",4,"Dirk","Kuyt","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
9,"Italy",3,"Fabio","Cannavaro","Brazil",3,"","Ronaldo","1997-06-08","Stade de Gerland","Christian","Vieri","Filippo","Inzaghi"
1,"Chelsea",4,"Ashley","Cole","Liverpool",4,"Martin","Skrtel","2009-04-14","Stamford Bridge","Salomon","Kalou","Nicolas","Anelka"
10,"Italy",4,"Sandro","Mazzola","West Germany",3,"Berti","Vegts","1970-06-17","Estadio Azteca","Bernd","Patzke","Sigfried","Held"
1,"Chelsea",4,"Didier","Drogba","Liverpool",4,"Jamie","Carragher","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
8,"Manchester United",2,"Andy","Cole","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Alexander","Zickler","Mehmet","Scholl"
6,"Milan",3,"Clarence","Seedorf","Liverpool",3,"Milan","Baros","2005-05-25","Ataturk Olimpiyat Stadyumu","Gennaro","Gattuso","Rui","Costa"
1,"Chelsea",4,"Michael","Ballack","Liverpool",4,"Xabi","Alonso","2009-04-14","Stamford Bridge","Didier","Drogba","Franco","Di Santo"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
3,"France",2,"Laurent","Blanc","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Emmanuel","Petit","Robert","Pires"
2,"Liverpool",5,"Stephane","Henchoz","Alaves",4,"Delfi","Geli","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
2,"Liverpool",5,"Didi","Hamann","Alaves",4,"Antonio","Karmona","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
8,"Manchester United",2,"Ryan","Giggs","Bayern",1,"Thomas","Linke","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
